sample_id,stage,treatment,batch,slide,parental_tumor,niche,emt,proliferation,hypoxia,immune,fibroblast,macrophage,tumour,n_spots,abundance
20220401-2_7,primary,no_treatment,2022/04/01,V11Y17-037,1,N5,0.02824221027884991,0.5526831477711572,-0.7676082068789969,0.06653287424429137,0.010518866269424934,0.015515063044813562,0.913284621651276,404,0.23123615922530905
20220401-2_7,primary,no_treatment,2022/04/01,V11Y17-037,1,N7,0.21426749222407068,0.3130136120966663,1.113783287205348,0.20203985887283674,0.2572447427843384,0.09094265660365554,0.45237941012381494,113,0.03264504187134909
20220401-2_7,primary,no_treatment,2022/04/01,V11Y17-037,1,N8,0.062255119747200494,0.41550932508982935,0.4360214663518464,0.07776574173650991,0.015845288403810203,0.021330646404312367,0.8946935893591315,550,0.3766876589810745
20220401-2_7,primary,no_treatment,2022/04/01,V11Y17-037,1,N9,0.18563066682804377,0.33485433272298887,0.5572751837974079,0.2287592821587048,0.15246247107401822,0.11759778647479364,0.5630122694597852,195,0.025583791793025668
20220401-2_7,primary,no_treatment,2022/04/01,V11Y17-037,1,N10,0.04351948012546221,0.25035982392179607,4.0940223682836985,0.04129580350127649,0.003200092107082059,0.006825329203149588,0.9508351914762387,213,0.05522644045944557
20220401-2_7,primary,no_treatment,2022/04/01,V11Y17-037,1,N11,0.18201759246579585,0.3639227582200682,-0.229698638176928,0.2678293463410812,0.09450972517741817,0.12121629223860214,0.6036565753525721,263,0.07296542952500032
20220401-2_7,primary,no_treatment,2022/04/01,V11Y17-037,1,N12,0.17813821058816864,0.37177627336804775,-0.408585885130206,0.3753672774910858,0.07067152702962998,0.13111035786445435,0.513074698441301,93,0.012426880591121585
20220401-2_8,mrd12,TAC_regimen,2022/04/01,V11Y17-037,1,N0,0.5177225200864078,0.02311364545935025,0.8977393996566004,0.649327828581293,0.16988535337084226,0.3667676679257748,0.1510104205237212,292,0.02512893860875155
20220401-2_8,mrd12,TAC_regimen,2022/04/01,V11Y17-037,1,N1,0.5045641626787244,0.022960584226388803,0.8260452197842427,0.681739022541182,0.14062525954161426,0.4584244628245485,0.15362887453008728,474,0.1582125797176537
20220401-2_8,mrd12,TAC_regimen,2022/04/01,V11Y17-037,1,N2,0.6354771341062501,0.03839294546866169,0.5788468734494876,0.39262800619562777,0.121773226987095,0.19978457663372448,0.4691292513074574,344,0.05512797569080284
