k,silhouette,smallest_cluster,selected,mean_loo_ari,min_feature_ari,tac_ari
2,0.4392339369567014,5,True,1.0,1.0,1.0
3,0.32738423542166484,2,False,0.9334261332687769,0.42278860569715143,1.0
4,0.2504527832005072,2,False,0.860754769790549,0.46808510638297873,0.5360824742268041
5,0.2696132727538942,1,False,1.0,0.5132743362831859,0.46987951807228917
6,0.27433317331749346,1,False,0.9798854077776423,0.6735905044510386,0.6735905044510386
