niche,spearman_r
N0,0.5982608695652173
N1,0.8652173913043478
N10,0.6643478260869564
N11,0.8226086956521739
N12,0.8347826086956521
N2,0.8139130434782607
N4,0.7426086956521739
N5,0.6921739130434782
N7,0.8678260869565216
N8,0.748695652173913
N9,0.8765217391304346
