niche,mrd7:abundance,mrd7:emt,mrd7:proliferation,mrd7:hypoxia,mrd7:immune,mrd7:fibroblast,mrd7:macrophage,mrd7:tumour,mrd12:abundance,mrd12:emt,mrd12:proliferation,mrd12:hypoxia,mrd12:immune,mrd12:fibroblast,mrd12:macrophage,mrd12:tumour,relapsed:abundance,relapsed:emt,relapsed:proliferation,relapsed:hypoxia,relapsed:immune,relapsed:fibroblast,relapsed:macrophage,relapsed:tumour
N0,-0.9782121925460865,3.094291193451099,1.7397306474576237,-1.8605373396004101,1.681420296519294,1.1558936497975814,1.6927665122548488,3.3535989597657054,0.22219217259851304,6.996619605800346,-0.11554961719040249,-0.9535016035986138,5.4453401242752015,2.283655240470326,5.938706505592134,0.18587824969602174,-0.49708102190792725,1.269839835359602,1.9897184653508655,-0.7500342512043404,1.3298370815349623,0.5156518071654435,0.6272601708740912,3.9100607362586395
N1,1.3179022675784702,5.558618176141783,0.8541252902405095,-3.6586735918445847,4.565479211343809,1.4263944501346684,5.930608035219378,1.345174385345921,1.899342174882875,6.364216183524919,-0.1016417949423937,-1.7281708776839237,5.8837269108181705,1.8766052474864057,8.047442844175752,0.18737754882179705,0.5663353323662128,2.1798357078284925,1.7029388133710532,-2.7040736347060124,2.213014320181517,1.0079124530451928,2.1208613607663382,3.1395402523837213
N10,-1.2739621435600448,2.6963078823689983,1.8130470931184837,-4.774316956458701,1.2520838870352242,0.4956680222280384,0.9072293040011798,3.947258943083275,-2.239935658882854,6.890901342829059,0.043563554527494344,-4.035537401919628,4.807334995624584,2.254923121080135,5.147839773759108,0.5749823479594132,-0.5101236595471323,0.8336410592969399,1.6722848165721487,-2.7073818436926986,0.9566948953273704,0.26256862870763176,0.298898837891945,4.2923472833271425
N11,0.33236468175460865,5.369680151547859,0.8827656131666933,-1.2225725345109006,4.0817009643923985,1.676171103403701,4.606911815023348,1.5066674482243556,0.9966847602444215,7.483165115507679,-0.1340581787309262,-0.3850960217663736,5.19309088457972,1.9235452706374234,5.708792838826718,0.6212567325867708,-0.15492163417643298,2.5406004708496557,1.7587458523472306,-0.7451132435697607,1.983733315203482,0.9987533515688904,1.3355841905799486,3.259456717645125
N12,1.0620709533102866,5.263441306982393,0.9618093609449474,-1.8736093572558494,4.8226874346720034,1.773435544174812,4.915315798987075,0.8862770246162179,2.1328009430220374,6.460392980753751,-0.12719378612298726,-0.7651028294587989,5.729843657898943,2.074858658233708,5.063796755817081,0.16774719097343233,0.9366747588293908,2.231756524338112,1.7827342669926645,-1.270344291009389,2.403293375353365,1.0906783740386232,1.3803863056308248,2.816197744509803
N2,-0.016005839536766986,5.304134816358502,1.1234051834257912,-2.8357501107155763,1.5302921267903922,0.5677232800542358,1.4638251672687812,3.742793366846254,-0.5121133439961806,9.518140354908958,-0.047167137039715076,-1.4380772369483326,3.6104733588400952,1.6209328840498864,3.9829724558836848,1.8253724039167747,-0.06292824099015587,2.5905751919398554,1.6491889999681462,-1.76992068725731,1.0309319028845405,0.3046692115626619,0.3263890802149995,4.209553163010373
N4,-0.26565101509444466,3.222862446859641,1.7545662772970214,-2.4189654970174495,2.115575235361587,1.1023525865125836,2.225578090524158,3.066100476490513,-0.38718548587489493,8.122411271526548,-0.10301996959897364,-0.7562810497885308,4.652322983827813,1.989508258600533,5.09621996448662,0.9407417269409717,-0.2359411492310846,1.4197796056568435,2.0466112468371684,-1.4274965900826713,1.430504690023859,0.7004683328173951,0.8588201997964148,3.7212514402265575
N5,-1.079004671376834,2.309102676326386,2.1001934439757273,-1.2012887178022769,1.2840300720016429,0.5684343378942343,0.9130060731846406,3.8856616204862946,-3.4431789655376654,6.241077482818929,0.46884617391726446,-0.20156062638376784,4.38173395396552,1.6365372756786671,3.345549597511734,1.2175574937529494,-0.5624319605729642,0.9988199294259444,2.2658892056909243,-0.2384754115490711,1.0623502892088226,0.27405820838281925,0.2544692435219551,4.187387939684512
N7,0.8468831908552558,5.245599418309131,0.5902800057084826,-2.350828586393512,3.222132285852542,3.5028104293401254,4.087064384968604,1.2733566397982137,1.8118298812402438,5.332383846714369,-0.08746671268523074,-1.1603186056597221,4.85436878437746,3.176888442428007,5.970149170455812,0.3163586272662976,0.25735808380732245,1.9296753092410017,1.8513790093686286,-1.763363743726122,1.8685388063272725,1.1147718881023547,1.3678032723491873,3.2973067010024013
N8,-0.1401232706545306,4.255802557679758,1.315572222476432,-2.329439612898237,1.663544165069176,0.5884551578548143,1.4163197930357967,3.6175402077942262,-1.3047582083818259,8.531779456021138,0.02653180024395882,-1.1160348991013458,3.266101203273914,1.7536216334897214,3.238514976368758,1.9628499543951214,0.36880748785074424,2.24069766725333,1.7399966753758822,-1.4280434984411443,1.3384379677842446,0.36242560917259414,0.4346441648670012,3.940514976711955
N9,0.19373803927008426,5.105623264520249,0.9333269511877006,-5.100029254126108,3.496744811426776,3.011309184519929,4.390623947428733,1.35462929925701,0.8243217306853331,7.614690408324404,-0.08252854913239611,-2.8115652286692203,5.008242900223976,2.2963998116227935,5.527976128228706,0.6554087502403401,-0.10574799642797375,2.238138482819101,1.6436548110751192,-4.248404471029676,2.119257361083794,1.7226411860741258,2.062475520409297,2.8556643944761637
