sample_id,stage,treatment,batch,slide,parental_tumor,niche,emt,proliferation,hypoxia,immune,fibroblast,macrophage,tumour,n_spots,abundance
20221010-1_1,primary,no_treatment,2022/10/10,V11Y17-038,2.1,N0,0.05427273434263566,0.2785862111282666,2.2519426413048476,0.1821304195524014,0.023743738825100506,0.011903426225303422,0.77658095972815,1045,0.08011889308717036
20221010-1_1,primary,no_treatment,2022/10/10,V11Y17-038,2.1,N1,0.1509681285795988,0.1609013432856887,3.80436330228106,0.3185120509619653,0.1775409283007244,0.19024128304432886,0.48089746269181866,332,0.011100294072103783
20221010-1_1,primary,no_treatment,2022/10/10,V11Y17-038,2.1,N2,0.11835367245396636,0.18992082829698356,3.490589327540766,0.15939266848531913,0.01333185949873083,0.00941076818594289,0.8140760498599753,1305,0.0787329002691524
20221010-1_1,primary,no_treatment,2022/10/10,V11Y17-038,2.1,N4,0.06640344100400924,0.23821202785821546,3.1953792453962824,0.1980908483720196,0.04610554341757972,0.027572242634153223,0.7256986254384686,1350,0.14625969529654018
20221010-1_1,primary,no_treatment,2022/10/10,V11Y17-038,2.1,N5,0.050893231186684706,0.28413217001296565,1.9480151178163334,0.18673906915013477,0.014290593022712132,0.0071151228594835535,0.781635910875932,1610,0.3515294883803349
20221010-1_1,primary,no_treatment,2022/10/10,V11Y17-038,2.1,N7,0.15921788816105914,0.15452151176130735,3.2579476993289345,0.24980514250835884,0.23696468726046116,0.12343265509599903,0.48826856844448674,318,0.011975169085982947
20221010-1_1,primary,no_treatment,2022/10/10,V11Y17-038,2.1,N8,0.09216327905492107,0.22549170874218846,3.46893825877296,0.17331830630207218,0.014305615676459188,0.009599919499047201,0.7916830757661455,755,0.04084839089508112
20221010-1_1,primary,no_treatment,2022/10/10,V11Y17-038,2.1,N9,0.13617956343610935,0.10858523158574447,5.3232632332129555,0.22714023714494333,0.2827114227423636,0.12633669885926216,0.4561464823904236,402,0.033232773648356737
20221010-1_1,primary,no_treatment,2022/10/10,V11Y17-038,2.1,N10,0.04615251715866713,0.1672847095075023,5.741649938523297,0.1425511091313143,0.017499294705329495,0.010079781902193509,0.8272140517387114,1401,0.18929409825320007
20221010-1_1,primary,no_treatment,2022/10/10,V11Y17-038,2.1,N11,0.0894382522004349,0.2840784748214571,1.8778082818829687,0.2435739277860987,0.07317418166754175,0.05811693796295675,0.6588250230199257,661,0.05078886132901048
20221010-1_1,primary,no_treatment,2022/10/10,V11Y17-038,2.1,N12,0.0702147011275778,0.251444084059715,2.354472891197717,0.1857200474699094,0.047706158081831894,0.024371377220727995,0.7328086464492481,230,0.006119435683067207
20221010-1_2,mrd7,cisplatin_6mg/kg,2022/10/10,V11Y17-038,2.1,N0,0.4145207645681301,0.08150186730432968,0.5923548800280485,0.44095934335876164,0.21635995496626123,0.306841760042468,0.3158653704384447,473,0.03227783698278678
20221010-1_2,mrd7,cisplatin_6mg/kg,2022/10/10,V11Y17-038,2.1,N1,0.45887273178783605,0.043215758429624676,0.9365323150113221,0.5451956373735781,0.1625724288869298,0.4214606566663555,0.26996784239440824,1021,0.12210383991447404
20221010-1_2,mrd7,cisplatin_6mg/kg,2022/10/10,V11Y17-038,2.1,N2,0.5481074539210827,0.05024078302896082,0.5989241203391709,0.37002030944392683,0.10564245883431445,0.2538489471092097,0.5067441763457308,697,0.0987702887417815
20221010-1_2,mrd7,cisplatin_6mg/kg,2022/10/10,V11Y17-038,2.1,N4,0.35357828574522565,0.12960350287573544,0.578161014164623,0.4395355147000383,0.1553493844266261,0.29158095891945157,0.37863804626361935,991,0.20567135812308085
20221010-1_2,mrd7,cisplatin_6mg/kg,2022/10/10,V11Y17-038,2.1,N5,0.28592827248710584,0.21075810983032642,0.020063363531647314,0.37156447899649186,0.1420195053318194,0.21303787541405336,0.46193666026917257,235,0.023104763836569144
20221010-1_2,mrd7,cisplatin_6mg/kg,2022/10/10,V11Y17-038,2.1,N7,0.4663108553526033,0.019040225202040652,0.9996269824655057,0.4441468716571644,0.32796152495507996,0.3204736168480071,0.19615136102588873,679,0.10275891990912647
20221010-1_2,mrd7,cisplatin_6mg/kg,2022/10/10,V11Y17-038,2.1,N8,0.523377659282549,0.03812518390723377,0.6751164548546587,0.38684677966517117,0.12419750812881303,0.2481158886496948,0.46352204011586434,343,0.02185608503728647
20221010-1_2,mrd7,cisplatin_6mg/kg,2022/10/10,V11Y17-038,2.1,N9,0.4538583776653268,0.044752072358598814,0.9875829184690054,0.4812632473446366,0.23352115261148754,0.35391469849978335,0.25193431287444495,961,0.10355592686030102
20221010-1_2,mrd7,cisplatin_6mg/kg,2022/10/10,V11Y17-038,2.1,N10,0.37974967430333906,0.08113444090284418,0.9873319499404571,0.40524900993317625,0.14011484819501607,0.2619563742799561,0.43501286266719436,347,0.018067048084920174
20221010-1_2,mrd7,cisplatin_6mg/kg,2022/10/10,V11Y17-038,2.1,N11,0.4602483675137444,0.03909725953867535,0.7934511217038568,0.49946329927260563,0.19529415050228158,0.34615365613596155,0.27854786735765485,1228,0.24421709078337062
20221010-1_2,mrd7,cisplatin_6mg/kg,2022/10/10,V11Y17-038,2.1,N12,0.4570437917926121,0.03553064093654566,0.7063179404957804,0.5094098708485806,0.20481507729201534,0.3356362725024375,0.24970480286364907,659,0.02761684172630295
20221010-1_3,mrd12,cisplatin_6mg/kg,2022/10/10,V11Y17-038,2.1,N0,0.1610438226438099,0.2814860686583379,-0.24235693636371286,0.299292570420642,0.12801091898461936,0.10004222988333257,0.5451134124083008,886,0.07764966083540589
20221010-1_3,mrd12,cisplatin_6mg/kg,2022/10/10,V11Y17-038,2.1,N1,0.32889943692849205,0.1494718978885817,0.440496416042535,0.5348151613254978,0.1491010005845577,0.4042069239238843,0.2880872839298538,974,0.10779458262644828
20221010-1_3,mrd12,cisplatin_6mg/kg,2022/10/10,V11Y17-038,2.1,N2,0.344891081187294,0.16740674387476523,-0.017774953385112913,0.30618714408843817,0.10252401829416061,0.14105850813835036,0.5707757049693256,886,0.07492668891519204
20221010-1_3,mrd12,cisplatin_6mg/kg,2022/10/10,V11Y17-038,2.1,N4,0.18308948087270516,0.2693248012372947,-0.17605331654971748,0.3446028999379238,0.1332216160030839,0.17509650623680872,0.4933809504914069,1252,0.19532128890112851
20221010-1_3,mrd12,cisplatin_6mg/kg,2022/10/10,V11Y17-038,2.1,N5,0.09708229498331991,0.33453236494619826,-0.7298723616566772,0.26563005969748993,0.07628860273862063,0.07889674405053651,0.6362664966164602,498,0.06238094929042683
20221010-1_3,mrd12,cisplatin_6mg/kg,2022/10/10,V11Y17-038,2.1,N7,0.30087217859628534,0.16621913929342955,0.2635750863187097,0.3810373123314417,0.24651465779059914,0.2082652281090925,0.3360052280719796,938,0.07326055589101144
20221010-1_3,mrd12,cisplatin_6mg/kg,2022/10/10,V11Y17-038,2.1,N8,0.24015729344631945,0.22666734727433477,-0.265397960566068,0.31943540063694,0.11903529864403417,0.13360082865321052,0.5339913248451076,438,0.015867104295913453
20221010-1_3,mrd12,cisplatin_6mg/kg,2022/10/10,V11Y17-038,2.1,N9,0.2872645411345392,0.18525808600465435,0.255610157662229,0.42208142895307676,0.19187019293073185,0.2668805032527587,0.3517368482123495,1143,0.0921845000157947
20221010-1_3,mrd12,cisplatin_6mg/kg,2022/10/10,V11Y17-038,2.1,N10,0.21176988966816593,0.23159766715176658,-0.08900684375841215,0.32516649768271383,0.11743883948647156,0.10441818351926184,0.5285212308402749,657,0.03998882233623189
20221010-1_3,mrd12,cisplatin_6mg/kg,2022/10/10,V11Y17-038,2.1,N11,0.2763881998035076,0.1988611213490264,0.12609528345872423,0.3940904037477232,0.16709114393296592,0.19855789074417365,0.410719611590675,1464,0.23129082785829258
20221010-1_3,mrd12,cisplatin_6mg/kg,2022/10/10,V11Y17-038,2.1,N12,0.24999829752398686,0.20503169745271188,-0.000431989989340467,0.3799693427059043,0.17015104408141163,0.1669020993820741,0.4143224406672326,768,0.02933501903415456
20221010-1_4,relapsed,cisplatin_6mg/kg,2022/10/10,V11Y17-038,2.1,N0,0.0705570709287059,0.35604119324343125,1.232342935918846,0.22956222844061208,0.02055048464105669,0.03915344581905499,0.7346950500593558,1055,0.058259833496246576
20221010-1_4,relapsed,cisplatin_6mg/kg,2022/10/10,V11Y17-038,2.1,N1,0.16510242891905896,0.29491713708410605,0.9918828088815657,0.45699691961969635,0.0960476135612709,0.24707078772629557,0.4239974401803414,487,0.017667466269927146
20221010-1_4,relapsed,cisplatin_6mg/kg,2022/10/10,V11Y17-038,2.1,N2,0.1314323644275181,0.274645068719566,1.8650731499973066,0.1803472656595253,0.017449798594383222,0.022284378436501318,0.7860146501246704,1475,0.0886196324453166
20221010-1_4,relapsed,cisplatin_6mg/kg,2022/10/10,V11Y17-038,2.1,N4,0.08292150662027943,0.34002202820666916,1.114106568841002,0.26010476496002344,0.03693241590718159,0.06742194924919793,0.6835856798004661,1598,0.1764235133941807
20221010-1_4,relapsed,cisplatin_6mg/kg,2022/10/10,V11Y17-038,2.1,N5,0.060394981638654,0.3651564356982617,0.9276627594637462,0.20719528476489,0.015064604106079656,0.019599274790501723,0.7616593825234188,1745,0.38214235501283766
20221010-1_4,relapsed,cisplatin_6mg/kg,2022/10/10,V11Y17-038,2.1,N7,0.1596485903822029,0.3001358034342179,0.8251579253777289,0.3526673232913856,0.11860403975349476,0.17415700573939932,0.49974797432348816,413,0.015080418065060079
20221010-1_4,relapsed,cisplatin_6mg/kg,2022/10/10,V11Y17-038,2.1,N8,0.07239489867720592,0.31897706164688494,1.5783817563645886,0.21770313284976028,0.0179704265572539,0.03295424274142422,0.7492095382265564,1039,0.02601137485976971
20221010-1_4,relapsed,cisplatin_6mg/kg,2022/10/10,V11Y17-038,2.1,N9,0.18980549032513272,0.2703674447291724,1.1909986877986711,0.3923507169890746,0.13020948746722152,0.20005515533370727,0.44880696513317614,369,0.022313864549725396
20221010-1_4,relapsed,cisplatin_6mg/kg,2022/10/10,V11Y17-038,2.1,N10,0.05573621846113908,0.271768865941249,3.9234736879997083,0.16867777276530949,0.012191486077646998,0.015937340970959325,0.8069523650307325,1555,0.15280625041164783
20221010-1_4,relapsed,cisplatin_6mg/kg,2022/10/10,V11Y17-038,2.1,N11,0.13604724680447955,0.3321379497451476,1.0014162412661882,0.3993426607505305,0.07364730353744041,0.16846689189654726,0.5081202208587208,706,0.05403462461075671
20221010-1_4,relapsed,cisplatin_6mg/kg,2022/10/10,V11Y17-038,2.1,N12,0.12109014947191883,0.32979492821728595,0.8445727894656454,0.34884896209754773,0.0642398533115817,0.12491805433223824,0.5633758976863622,270,0.006640666884531583
20221010-2_5,primary,no_treatment,2022/10/10,V11Y17-039,2.1,N0,0.048488377719224526,0.2730034487246899,2.4368311760667742,0.14052847251617237,0.029043525563811186,0.013759331393432458,0.8138098098371382,875,0.072930166758797
20221010-2_5,primary,no_treatment,2022/10/10,V11Y17-039,2.1,N1,0.13706612059279927,0.15928432145529264,4.213114925338868,0.28041302915826694,0.17744352752098902,0.17944643196430146,0.517167102344829,273,0.010931939720321195
20221010-2_5,primary,no_treatment,2022/10/10,V11Y17-039,2.1,N2,0.10603757510877976,0.20084183898117886,3.5708563302015834,0.12615195169214463,0.017243813992461953,0.010542633811273915,0.8447139328161813,1200,0.07458645408394747
20221010-2_5,primary,no_treatment,2022/10/10,V11Y17-039,2.1,N4,0.06073395459044053,0.25118909814030005,3.091291762233636,0.16673061075059256,0.04910193691735973,0.03054381431689445,0.7569972361053046,1224,0.15086749849901795
